Número;Pokémon;Habilidade A;Habilidade B;Altas Habilidades A;Altas Habilidades B;Altas Habilidades C
437;Bronzong;Isolamento Térmico;Levitação;Metal Pesado;-;-
438;Bonsly;Cabeça Dura;Robustez;Covardia;-;-
439;Mime Jr.;Cacofonia;Filtro;Técnica;-;-
440;Happiny;Graça Serena;Recuperação;Companheirismo;-;-
441;Chatot;Pés Laçados;Visão Aguçada;Bicudo;-;-
442;Spiritomb;Pressão;-;Infiltrador;-;-
443;Gible;Manto de Areia;-;Aspereza;-;-
444;Gabite;Manto de Areia;-;Aspereza;-;-
445;Garchomp;Manto de Areia;-;Aspereza;-;-
446;Munchlax;Catagem;Gordura;Gula;-;-
447;Riolu;Foco Interior;Inabalável;Travessura;-;-
448;Lucario;Foco Interior;Inabalável;Justiceiro;-;-
449;Hippopotas;Convocar Areia;-;Arenoso;-;-
450;Hippowdon;Convocar Areia;-;Arenoso;-;-
451;Skorupi;Armadura;Franco-Atirador;Visão Aguçada;-;-
452;Drapion;Armadura;Franco-Atirador;Visão Aguçada;-;-
453;Croagunk;Antecipação;Ressecado;Toque Tóxico;-;-
454;Toxicroak;Antecipação;Ressecado;Toque Tóxico;-;-
455;Carnivine;Levitação;-;-;-;-
456;Finneon;Drenagem;Velocidade na Água;Revestimento Aquoso;-;-
457;Lumineon;Drenagem;Velocidade na Água;Revestimento Aquoso;-;-
458;Mantyke;Absorção de Água;Velocidade na Água;Revestimento Aquoso;-;-
459;Snover;Convocar Neve;-;Cacofonia;-;-
460;Abomasnow;Convocar Neve;-;Cacofonia;-;-
461;Weavile;Foco Interior;Visão Aguçada;Gatuno;Pressão;-
462;Magnezone;Ímã;Robustez;Análise;-;-
463;Lickilicky;Obtusidade;Ritmo Próprio;Aclimatação;-;-
464;Rhyperior;Cabeça Dura;Pararraios;Imprudência;Solidez;-
465;Tangrowth;Clorofila;Proteção Vegetal;Regeneração;-;-
466;Electivire;Eletricidade Estática;-;Espírito Vigoroso;Motorização;-
467;Magmortar;Flamejante;-;Espírito Vigoroso;-;-
468;Togekiss;Entusiasmo;Graça Serena;Sorte;-;-
469;Yanmega;Explosão de Velocidade;Olhos Compostos;Bisbilhoteiro;Olhos Cromados;-
470;Leafeon;Adaptabilidade;Fuga;Clorofila;Proteção Vegetal;-
471;Glaceon;Adaptabilidade;Fuga;Friorento;Manto de Neve;-
472;Gliscor;Hipercorte;Manto de Areia;Veneno Curador;-;-
473;Mamoswine;Manto de Neve;Obtusidade;Gordura;-;-
474;Porygon-Z;Download;Vestígio;Adaptabilidade;Análise;-
475;Gallade;Sincronizar;Vestígio;Inabalável;Justiceiro;-
476;Probopass;Ímã;Robustez;Arenoso;-;-
477;Dusknoir;Levitação;-;Bisbilhoteiro;Pressão;-
478;Froslass;Foco Interior;Friorento;Anátema;Manto de Neve;-
479;Rotom;Levitação;-;-;-;-
480;Uxie;Levitação;-;-;-;-
481;Mesprit;Levitação;-;-;-;-
482;Azelf;Levitação;-;-;-;-
483;Dialga;Pressão;-;Telepatia;-;-
484;Palkia;Pressão;-;Telepatia;-;-
485;Heatran;Absorção de Chamas;-;Flamejante;-;-
486;Regigigas;Lentidão;-;-;-;-
487;Giratina;Pressão;-;Telepatia;-;-
488;Cresselia;Levitação;-;-;-;-
489;Phione;Hidratação;-;-;-;-
490;Manaphy;Hidratação;-;-;-;-
491;Darkrai;Pesadelos;-;-;-;-
492;Shaymin;Recuperação;-;-;-;-
493;Arceus;Multitipo;-;-;-;-
494;Victini;Estrela da Vitória;-;-;-;-
495;Snivy;Contrário;-;Rivalidade;-;-
496;Servine;Contrário;-;Rivalidade;-;-
497;Serperior;Contrário;-;Rivalidade;-;-
498;Tepig;Gordura;-;Isolamento Térmico;-;-
499;Pignite;Gordura;-;Isolamento Térmico;-;-
500;Emboar;Gordura;-;Imprudência;Isolamento Térmico;-
501;Oshawott;Concha;-;Foco Interior;-;-
502;Dewott;Concha;-;Foco Interior;-;-
503;Samurott;Concha;-;Foco Interior;-;-
504;Patrat;Fuga;Visão Aguçada;Análise;-;-
505;Watchog;Fuga;Visão Aguçada;Análise;Iluminação;-
506;Lillipup;Catagem;Espírito Vigoroso;Fuga;-;-
507;Herdier;Catagem;Espírito Vigoroso;Fragmentado;Intimidar;Velocidade na Areia
508;Stoutland;Catagem;Espírito Vigoroso;Fragmentado;Intimidar;Velocidade na Areia
509;Purrloin;Elasticidade;Leveza;Travessura;-;-
510;Liepard;Elasticidade;Leveza;Travessura;-;-
511;Pansage;Gula;-;Travessura;-;-
512;Simisage;Gula;-;Travessura;-;-
513;Pansear;Gula;-;Travessura;-;-
514;Simiscar;Gula;-;Travessura;-;-
515;Panpour;Gula;-;Travessura;-;-
516;Simipour;Gula;-;Travessura;-;-
517;Munna;Premonição;Sincronizar;Telepatia;-;-
518;Musharna;Premonição;Sincronizar;Telepatia;-;-
519;Pidove;Bicudo;Sorte;Rivalidade;-;-
520;Tranquil;Bicudo;Sorte;Rivalidade;-;-
521;Unfezant;Bicudo;Sorte;Rivalidade;-;-
522;Blitzle;Motorização;Pararraios;Absorção de Seiva;-;-
523;Zebstrika;Motorização;Pararraios;Absorção de Seiva;-;-
524;Roggenrola;Fragueza;Robustez;Arenoso;-;-
525;Boldore;Fraqueza;Robustez;Arenoso;-;-
526;Gigalith;Fraqueza;Robustez;Arenoso;Convocar Areia;-
527;Woobat;Desastrado;Desatenção;Mediocridade;-;-
528;Swoobat;Desastrado;Desatenção;Mediocridade;-;-
529;Drilbur;Arenoso;Velocidade na Areia;Quebra Moldes;-;-
530;Excadrill;Arenoso;Velocidade na Areia;Quebra Moldes;-;-
531;Audino;Cura;Regeneração;Desastrado;-;-
532;Timburr;Força Bruta;Tenacidade;Punho de Ferro;-;-
533;Gurdurr;Força Bruta;Tenacidade;Punho de Ferro;-;-
534;Conkeldurr;Força Bruta;Tenacidade;Punho de Ferro;-;-
535;Tympole;Hidratação;Velocidade na Água;Absorção de Água;-;-
536;Palpitoad;Hidratação;Velocidade na Água;Absorção de Água;-;-
537;Seismicoad;Hidratação;Velocidade na Água;Absorção de Água;Toque Tóxico;-
538;Throh;Foco Interior;Tenacidade;Quebra Moldes;-;-
539;Sawk;Foco Interior;Robustez;Quebra Moldes;-;-
540;Sewaddle;Carapaça;Clorofila;Polvilhar;-;-
541;Swadloon;Carapaça;Clorofila;Polvilhar;-;-
542;Leavanny;Carapaça;Clorofila;Protecção Vegetal;-;-
543;Venipede;Espículas Venenosas;Explosão de Velocidade;Polvilhar;-;-
544;Whirlipede;Espículas Venenosas;Explosão de Velocidade;Armadura;-;-
545;Scolipede;Espículas Venenosas;Explosão de Velocidade;Intimidar;-;-
546;Cottonee;Infiltrador;Travessura;Clorofila;-;-
547;Whimsicott;Infiltrador;Travessura;Clorofila;-;-
548;Petilli;Clorofila;Ritmo Próprio;Proteção Vegetal;-;-
549;Lilligant;Clorofila;Ritmo Próprio;Proteção Vegetal;-;-
550;Basculin;Adaptabilidade;Imprudência;Quebra Moldes;-;-
551;Sandile;Arrogância;Intimidar;Frenesi;-;-
552;Krokorok;Arrogância;Intimidar;Frenesi;-;-
553;Krookodile;Arrogância;Intimidar;Frenesi;-;-
554;Darumaka;Entusiasmo;-;Foco Interior;-;-
555;Darmanitan;Entusiasmo;-;Força Bruta;Zen;-
556;Maractus;Absorção de Água;Clorofila;Drenagem;-;-
557;Dwebble;Concha;Robustez;Fraqueza;-;-
558;Crustie;Concha;Robustez;Fraqueza;-;-
559;Scraggy;Arrogância;Troca de Pele;Intimidar;-;-
560;Scrafty;Arrogância;Troca de Pele;Intimidar;-;-
561;Sigilyph;Pele Perfeita;Proteção Mágica;Olhos Compostos;-;-
562;Yamask;Múmia;-;-;-;-
563;Cofagrigus;Múmia;-;-;-;-
564;Tirtouga;Robustez;Solidez;Velocidade na Água;-;-
565;Carracosta;Robustez;Solidez;Velocidade na Água;-;-
566;Archen;Derrotável;-;-;-;-
567;Archeops;Derrotável;-;-;-;-
568;Trubbish;Fedor;Viscosidade;Resquício;-;-
569;Garbodor;Fedor;Viscosidade;Fraqueza;Resquício;-
570;Zorua;Ilusão;-;-;-;-
571;Zoroark;Ilusão;-;-;-;-
572;Minccino;Técnica;Tentação;Ligação;-;-
573;Cinccino;Técnica;Tentação;Ligação;-;-
574;Gothita;Bisbilhoteiro;Competição;Identificação;-;-
575;Gothorita;Bisbilhoteiro;Competição;Identificação;-;-
576;Gothitelle;Bisbilhoteiro;Competição;Identificação;-;-
577;Solosis;Carapaça;Proteção Mágica;Regeneração;-;-
578;Duosion;Carapaça;Proteção Mágica;Regeneração;-;-
579;Reuníclus;Carapaça;Proteção Mágica;Regeneração;-;-
580;Duckett;Bicudo;Visão Aguçada;Hidratação;-;-
581;Swanna;Bicudo;Visão Açucada;Hidratação;-;-
582;Vanillite;Friorento;Manto de Neve;Fraqueza;-;-
583;Vanillish;Friorento;Manto de Neve;Fraqueza;-;-
584;Vanilluxe;Friorento;Manto de Neve;Fraqueza;-;-
585;Deerling;Absorção de Selva;Clorofila;Graça Serena;-;-
586;Sawsbuck;Absorção de Selva;Clorofila;Graça Serena;-;-
587;Emolga;Eletricidade Estática;-;Motorização;-;-
588;Karrablast;Guarda Baixa;Troca de Pele;Armadura;-;-
589;Escavalier;Guarda Baixa;Troca de Pele;Armadura;Carapaça;Concha
590;Foongus;Esporulação;-;Regeneração;-;-
591;Amoonguss;Esporulação;-;Regeneração;-;-
592;Frillish;Absorção de Água;Anátema;Umidade;-;-
593;Jellicent;Absorção de Água;Anátema;Umidade;-;-
594;Alomomola;Cura;Hidratação;Regeneração;-;-
595;Joltik;Olhos Compostos;Tensão;Eletricidade Estática;-;-
596;Galvantula;Olhos Compostos;Tensão;Intimidar;-;-
597;Ferroseed;Espículas Metálicas;-;-;-;-
598;Ferrothorn;Espículas Metálicas;-;Antecipação;-;-
599;Klink;Mais;Menos;Metal Precioso;-;-
600;Klang;Mais;Menos;Metal Precioso;-;-
601;Klinklang;Mais;Menos;Metal Precioso;-;-
602;Tynamo;Levitação;-;-;-;-
603;Eelektrik;Levitação;-;-;-;-
604;Eelektross;Levitação;-;-;-;-
605;Elgyem;Sincronizar;Telepatia;Análise;-;-
606;Beheeyem;Sincronizar;Telepatia;Análise;-;-
607;Litwick;Absorção de Chamas;Flamejante;Infiltrador;-;-
608;Lampent;Absorção de Chamas;Flamejante;Infiltrador;-;-
609;Chandelure;Absorção de Chamas;Flamejante;Infiltrador;-;-
610;Axew;Quebra Moldes;Rivalidade;Tensão;-;-
611;Frazure;Quebra Moldes;Rivalidade;Tensão;-;-
612;Haxorus;Quebra Moldes;Rivalidade;Tensão;-;-
613;Cubchoo;Manto de Neve;Velocidade na Água;Covardia;-;-
614;Beatric;Manto de Neve;Velocidade na Água;Covardia;-;-
615;Cryogonal;Levitação;-;-;-;-
616;Shelmet;Concha;Hidratação;Carapaça;-;-
617;Acceigor;Concha;Hidratação;Leveza;Viscosidade;-
618;Stunfisk;Elasticidade;Eletricidade Estática;Manto de Areia;-;-
619;Mienfoo;Foco Interior;Regeneração;Imprudência;-;-
620;Mienshao;Foco Interior;Regeneração;Imprudência;-;-
621;Druddigon;Aspereza;Força Bruta;Quebra Moldes;-;-
622;Golett;Desastrado;Punho de Ferro;Guarda Baixa;-;-
623;Golurk;Desastrado;Punho de Ferro;Guarda Baixa;-;-
624;Pawniard;Agonista;Foco Interior;Pressão;-;-
625;Bisharp;Agonista;Foco Interior;Pressão;-;-
626;Bouffalant;Absorção de Seiva;Imprudência;Cacofonia;-;-
627;Rufflet;Força Bruta;Visão Aguçada;Entusiasmo;-;-
628;Braviary;Força Bruta;Visão Aguçada;Agonista;-;-
629;Vullaby;Bicudo;Carapaca;Fraqueza;-;-
630;Mandibuzz;Bicudo;Carapaça;Fraqueza;-;-
631;Heatmor;Absorção de Chamas;Gula;Fumaça;-;-
632;Durant;Entusiasmo;Preguiça;Catagem;-;-
633;Deino;Entusiasmo;-;-;-;-
634;Zweilous;Entusiasmo;-;-;-;-
635;Hydreigon;Entusiasmo;-;Levitação;-;-
636;Larvesta;Flamejante;-;Carapaça;-;-
637;Volcarona;Flamejante;-;Olhos Cromados;-;-
638;Cobalion;Justiceiro;-;-;-;-
639;Terrakion;Justiceiro;-;-;-;-
640;Virizion;Justiceiro;-;-;-;-
641;Tornadus;Travessura;-;Agonista;-;-
642;Thundurus;Travessura;-;Agonista;-;-
643;Reshiram;Turbochama;-;-;-;-
644;Zekrom;Teravoltagem;-;-;-;-
645;Landorus;Arenoso;-;Força Bruta;-;-
646;Kyurem;Pressão;-;-;-;-
647;Keldeo;Justiceiro;-;-;-;-
648;Meloetta;Graça Serena;-;-;-;-
649;Genesect;Download;-;-;-;-
650;Chespin;Bilindagem;-;Armadura;-;-
651;Quilladin;Bilindagem;-;Armadura;-;-
652;Chesnaught;Bilindagem;-;Armadura;-;-
653;Fennekin;Mágica;-;Travessura;-;-
654;Braixen;Mágica;-;Travessura;-;-
655;Delphox;Mágica;-;Travessura;-;-
656;Froakie;Metamorfose;-;Infiltrador;-;-
657;Frogadier;Metamorfose;-;Infiltrador;-;-
658;Greninja;Metamorfose;-;Infiltrador;Vínculo Profundo;-
659;Bunnelby;Bochechudo;Catagem;Força Gigantesca;-;-
660;Diggersby;Bochechudo;Catagem;Força Gigantesca;-;-
661;Fletchling;Bicudo;-;Asas de Vendavais;-;-
662;Fletchinder;Bicudo;-;Asas de Vendavais;Flamejante;-
663;Talonflame;Bicudo;-;Asas de Vendavais;Flamejante;-
664;Scatterbug;Olhos Compostos;Polvilhar;Companheirismo;-;-
665;Spewpa;Olhos Compostos;Polvilhar;Companheirismo;Troca de Pele;-
666;Vivillon;Olhos Compostos;Polvilhar;Companheirismo;-;-
667;Litleo;Rivalidade;Tensão;Arrogância;-;-
668;Pyroar;Rivalidade;Tensão;Arrogância;-;-
669;Flabébé;Véu Florido;-;Simbiose;-;-
670;Floette;Véu Florido;-;Simbiose;-;-
671;Florges;Véu Florido;-;Simbiose;-;-
672;Skiddo;Absorção de Seiva;-;Frondoso;-;-
673;Gogoat;Absorção de Seiva;-;Frondoso;-;-
674;Pancham;Punho de Ferro;Quebra Moldes;Fragmentado;-;-
675;Pangoro;Punho de Ferro;Quebra Moldes;Fragmentado;-;-
676;Furfrou;Peludo;-;-;-;-
677;Espurr;Infiltrador;Visão Aguçada;Ritmo Próprio;-;-
678;Meowstic;Infiltrador;Visão Aguçada;Travessura (Macho) ou Competição (Fêmea);-;-
679;Honedge;Guarda Baixa;-;-;-;-
680;Doublade;Guarda Baixa;-;-;-;-
681;Aegislash;Guarda Baixa;-;Posturas;-;-
682;Spritzee;Cura;-;Véu Aromático;-;-
683;Aromatisse;Cura;-;Véu Aromático;-;-
684;Swirlix;Véu Doce;-;Leveza;-;-
685;Slurpuff;Véu Doce;-;Leveza;-;-
686;Inkay;Contrário;Ventosas;Infiltrador;-;-
687;Malamar;Contrário;Ventosas;Infiltrador;-;-
688;Binacle;Franco-Atirador;Garras Duras;Gatuno;-;-
689;Barbaracle;Franco-Atirador;Garras Duras;Gatuno;-;-
690;Skrelp;Espículas Venenosas;Toque Tóxico;Adaptabilidade;-;-
691;Dragalge;Espículas Venenosas;Toque Tóxico;Adaptabilidade;-;-
692;Clauncher;Bazuca;-;-;-;-
693;Clawitzer;Bazuca;-;-;-;-
694;Helioptile;Manto de Areia;Ressecado;Poder Solar;-;-
695;Heliolisk;Manto de Areia;Ressecado;Poder Solar;-;-
696;Tyrunt;Mandíbula;-;Robustez;-;-
697;Tyrantrum;Mandíbula;-;Cabeça Dura;-;-
698;Amaura;Refrigeração;-;Convocar Neve;-;-
699;Aurorus;Refrigeração;-;Convocar Neve;-;-
700;Sylveon;Adaptabilidade;Fuga;Encantação;Tentação;-
701;Hawlucha;Elasticidade;Leveza;Quebra Moldes;-;-
702;Dedenne;Bochechudo;Catagem;Mais;-;-
703;Carbink;Transparência;-;Robustez;-;-
704;Goomy;Absorção de Seiva;Hidratação;Pegajoso;-;-
705;Sliggoo;Absorção de Seiva;Hidratação;Pegajoso;-;-
706;Goodra;Absorção de Seiva;Hidratação;Pegajoso;-;-
707;Klefki;Travessura;-;Mágica;-;-
708;Phantump;Bisbilhoteiro;Recuperação;Colheita;-;-
709;Trevenant;Bisbilhoteiro;Recuperação;Colheita;-;-
710;Pumpkaboo;Bisbilhoteiro;Catagem;Insônia;-;-
711;Gourgeist;Bisbilhoteiro;Catagem;Insônia;-;-
712;Bergmite;Friorento;Ritmo Próprio;Robustez;-;-
713;Avalugg;Friorento;Ritmo Próprio;Robustez;-;-
714;Noibat;Bisbilhoteiro;Infiltrador;Telepatia;-;-
715;Noivern;Bisbilhoteiro;Infiltrador;Telepatia;-;-
716;Xerneas;Aura Feérica;-;-;-;-
717;Yveltal;Aura de Trevas;-;-;-;-
718;Zygarde;Agrupamento;-;Rompimento de Auras;-;-
719;Diancie;Transparência;-;-;-;-
720;Hoopa;Mágica;-;-;-;-
721;Volcanion;Absorção de Água;-;-;-;-
722;Rowlet;Alcance Remoto;-;Madrugar;-;-
723;Dartrix;Alcance Remoto;-;Madrugar;-;-
724;Decidueye;Alcance Remoto;-;Madrugar;-;-
725;Litten;Intimidar;-;Visão Aguçada;-;-
726;Torracat;Intimidar;-;Visão Aguçada;-;-
727;Incineroar;Intimidar;-;Visão Aguçada;-;-
728;Popplio;Voz Líquida;-;Velocidade na Água;-;-
729;Brionne;Voz Líquida;-;Velocidade na Água;-;-
730;Primarina;Voz Líquida;-;Velocidade na Água;-;-
731;Pikipek;Ligação;Visão Aguçada;Catagem;-;-
732;Trumbeak;Ligação;Visão Aguçada;Catagem;-;-
733;Toucannon;Ligação;Visão Aguçada;Força Bruta;-;-
734;Yungoos;Mandíbula;Vigília;Adaptabilidade;-;-
735;Gumshoos;Mandíbula;Vigília;Adaptabilidade;-;-
736;Grubbin;Obtusidade;-;-;-;-
737;Charjabug;Obtusidade;-;Bateria;-;-
738;Vikavolt;Obtusidade;-;Levitação;-;-
739;Crabrawler;Hipercorte;Punho de Ferro;Frenesi;-;-
740;Crabominable;Hipercorte;Punho de Ferro;Frenesi;-;-
741;Oricorio;Dança;-;-;-;-
742;Cutiefly;Mel;Polviíhar;Véu Doce;-;-
743;Ribombee;Mel;Polviíhar;Véu Doce;-;-
744;Rockruff;Espírito Vigoroso;Visão Aguçada;Inabalável;-;-
745;Lycanroc (Diurna);Espírito Vigoroso;Visão Aguçada;Inabalável;Velocidade na Areia;-
746;Lycanroc (Crepuscular);Espírito Vigoroso;Visão Aguçada;Garras Duras;-;-
747;Lycanroc (Noturna);Espírito Vigoroso;Visão Aguçada;Guarda Baixa;-;-
746;Wishiwashi (Solitário);Cardume;-;-;-;-
746;Wishiwashi (Cardume);Constante;-;-;-;-
747;Marcanie;Elasticidade;Impiedoso;Regeneração;-;-
748;Toxapex;Elasticidade;Impiedoso;Regeneração;-;-
749;Mudbray;Firmeza;Ritmo Próprio;Foco Interior;-;-
750;Mudsdale;Firmeza;Ritmo Próprio;Foco Interior;-;-
751;Dewpider;Bolha d'Água;-;Absorção de Água;-;-
752;Araquanid;Bolha d'Água;-;Absorção de Água;-;-
753;Fomantis;Proteção Vegetal;-;Contrário;-;-
754;Lurantis;Proteção Vegetal;-;Contrário;-;-
755;Morelull;Esporulação;Iluminação;Prato de Chuva;-;-
756;Shiinotic;Esporulação;Iluminação;Prato de Chuva;-;-
757;Salandit;Corrosão;-;Obtusidade;-;-
758;Salazzale;Corrosão;-;Obtusidade;-;-
759;Stufful;Desastrado;Maciez;Tentação;-;-
760;Bewear;Desastrado;Maciez;Tensão;-;-
761;Bounsweet;Obtusidade;Proteção Vegetal;Véu Doce;-;-
762;Steenee;Obtusidade;Proteção Vegetal;Véu Doce;-;-
763;Tsareena;Obtusidade;Proteção Vegetal;Majestade;Véu Doce;-
764;Comfey;Prazer;Véu Florido;Recuperação;-;-
765;Oranguru;Foco Interior;Telepatia;Simbiose;-;-
766;Passimian;Receptor;-;Agonista;-;-
767;Wimpod;Amarelar;-;-;-;-
768;Golisopod;Amarelar;-;Saída de Emergência;-;-
769;Sandygast;Desmanchar;-;Manto de Areia;-;-
770;Palossand;Desmanchar;-;Manto de Areia;-;-
771;Pyukumuku;Vísceras Extensíveis;-;Desatenção;-;-
772;Tipo Nulo;Armadura;-;-;-;-
773;Silvally;Armadura;-;Instalação;-;-
774;Minior;Desprotecido;-;-;-;-
775;Komala;Coma;-;-;-;-
776;Turtonator;Concha;-;-;-;-
777;Togedemaru;Espículas Metálicas;Pararraios;Robustez;-;-
778;Mimikyu;Disfarce;-;-;-;-
779;Bruxish;Deslumbrante;Mandíbula;Pele Perfeita;-;-
780;Drampa;Absorção de Seiva;Barbárie;Aclimatação;-;-
781;Dhelmise;Ferro Puro;-;-;-;-
782;Jangmo-O;Blindagem;Cacofonia;Carapaça;-;-
783;Hakamo-O;Blindagem;Cacofonia;Carapaça;-;-
784;Kommo-O;Blindagem;Cacofonia;Carapaça;-;-
785;Tapu Koko;Eletrogênese;-;Telepatia;-;-
786;Tapu Lele;Psicogênese;-;Telepatia;-;-
787;Tapu Bulu;Herbogênese;-;Telepatia;-;-
788;Tapu Fini;Nebulogênese;-;Telepatia;-;-
789;Cosmog;Desatenção;-;-;-;-
790;Cosmoem;Desatenção;-;Robustez;-;-
791;Solgaleo;Desatenção;-;Metal Precioso;-;-
792;Lunala;Desatenção;-;Escudo Espectral;-;-
793;Nihilego;Ultrabesta;-;-;-;-
794;Buzzwole;Ultrabesta;-;-;-;-
795;Pheromosa;Ultrabesta;-;-;-;-
796;Xurkitree;Ultrabesta;-;-;-;-
797;Celestesia;Ultrabesta;-;-;-;-
798;Kartana;Ultrabesta;-;-;-;-
799;Guzzlord;Ultrabesta;-;-;-;-
800;Necrozma;Prisma;-;-;-;-
801;Magearna;Cor da Alma;-;-;-;-
802;Marshadow;Técnica;-;-;-;-
803;Poipole;Ultrabesta;-;-;-;-
804;Naganadel;Ultrabesta;-;-;-;-
805;Stakataka;Ultrabesta;-;-;-;-
806;Blacephalon;Ultrabesta;-;-;-;-
807;Zeraora;Absorção de Voltagem;-;-;-;-
